material_id,name,category,density_kg_m3,thermal_conductivity_w_mk,carbon_kg_per_m2,eco_grade,source
MAT_001,Wood Variant 5,Wood,563.04,0.185,87.81,A,EPD Europe
MAT_002,Wood Variant 9,Wood,740.3,0.125,61.77,D,EPD Europe
MAT_003,Glass Variant 19,Glass,2586.44,0.803,369.71,C,Engineering Toolbox
MAT_004,Wood Variant 9,Wood,492.21,0.121,66.88,B,Engineering Toolbox
MAT_005,Concrete Variant 9,Concrete,2307.41,1.864,212.41,D,ICE Database
MAT_006,Concrete Variant 3,Concrete,2409.8,1.577,297.76,D,EPD Europe
MAT_007,Concrete Variant 1,Concrete,2293.45,1.895,226.63,B,ICE Database
MAT_008,Concrete Variant 12,Concrete,2244.49,1.808,191.69,D,ICE Database
MAT_009,Concrete Variant 5,Concrete,2265.16,1.84,298.41,A,ICE Database
MAT_010,Wood Variant 16,Wood,563.92,0.171,39.87,D,EPD Europe
MAT_011,Insulation Variant 8,Insulation,35.98,0.022,20.32,A,ICE Database
MAT_012,Insulation Variant 19,Insulation,95.94,0.045,70.16,B,Engineering Toolbox
MAT_013,Wood Variant 15,Wood,567.46,0.123,40.1,B,ICE Database
MAT_014,Glass Variant 7,Glass,2462.79,1.068,318.02,B,Engineering Toolbox
MAT_015,Steel Variant 18,Steel,7830.36,55.487,2105.62,A,ICE Database
MAT_016,Concrete Variant 11,Concrete,2325.34,1.846,203.56,B,ICE Database
MAT_017,Concrete Variant 3,Concrete,2404.8,1.873,267.05,B,Engineering Toolbox
MAT_018,Insulation Variant 8,Insulation,43.87,0.043,75.05,B,EPD Europe
MAT_019,Wood Variant 3,Wood,691.74,0.128,69.57,C,ICE Database
MAT_020,Insulation Variant 3,Insulation,80.14,0.02,69.08,C,EPD Europe
MAT_021,Insulation Variant 14,Insulation,37.83,0.045,42.09,B,Engineering Toolbox
MAT_022,Steel Variant 15,Steel,7827.51,58.667,2161.02,B,Engineering Toolbox
MAT_023,Steel Variant 1,Steel,8014.98,47.185,1514.15,C,ICE Database
MAT_024,Wood Variant 15,Wood,495.51,0.135,64.03,C,EPD Europe
MAT_025,Glass Variant 8,Glass,2459.24,1.072,335.51,D,EPD Europe
MAT_026,Insulation Variant 9,Insulation,108.21,0.03,33.28,C,ICE Database
MAT_027,Concrete Variant 9,Concrete,2384.34,1.512,255.63,C,ICE Database
MAT_028,Insulation Variant 13,Insulation,34.54,0.031,37.56,A,ICE Database
MAT_029,Glass Variant 20,Glass,2495.85,1.083,260.31,B,Engineering Toolbox
MAT_030,Steel Variant 12,Steel,7818.6,56.078,2171.44,A,Engineering Toolbox
MAT_031,Steel Variant 16,Steel,7907.82,45.119,2114.47,C,Engineering Toolbox
MAT_032,Glass Variant 5,Glass,2575.42,0.988,355.93,D,Engineering Toolbox
MAT_033,Wood Variant 6,Wood,530.21,0.14,80.54,B,EPD Europe
MAT_034,Steel Variant 3,Steel,7988.62,57.582,1739.09,B,EPD Europe
MAT_035,Glass Variant 5,Glass,2427.32,0.935,310.65,B,Engineering Toolbox
MAT_036,Wood Variant 5,Wood,581.01,0.17,36.88,A,ICE Database
MAT_037,Glass Variant 10,Glass,2592.84,0.964,394.83,A,ICE Database
MAT_038,Concrete Variant 7,Concrete,2338.32,1.636,300.67,A,EPD Europe
MAT_039,Insulation Variant 17,Insulation,95.1,0.021,39.62,C,ICE Database
MAT_040,Wood Variant 14,Wood,536.25,0.153,74.98,D,ICE Database
MAT_041,Steel Variant 6,Steel,8031.06,47.213,2411.77,D,EPD Europe
MAT_042,Wood Variant 8,Wood,653.07,0.197,44.6,C,ICE Database
MAT_043,Insulation Variant 7,Insulation,59.73,0.026,21.79,B,ICE Database
MAT_044,Wood Variant 2,Wood,616.47,0.193,32.43,B,ICE Database
MAT_045,Wood Variant 9,Wood,617.58,0.173,43.74,B,Engineering Toolbox
MAT_046,Concrete Variant 3,Concrete,2234.91,1.706,221.83,C,Engineering Toolbox
MAT_047,Steel Variant 9,Steel,7984.17,51.415,1715.18,B,EPD Europe
MAT_048,Concrete Variant 5,Concrete,2395.46,1.436,202.9,C,ICE Database
MAT_049,Concrete Variant 1,Concrete,2431.56,1.858,225.65,D,ICE Database
MAT_050,Insulation Variant 9,Insulation,72.98,0.025,24.21,B,ICE Database
MAT_051,Wood Variant 9,Wood,688.91,0.125,56.69,A,Engineering Toolbox
MAT_052,Steel Variant 12,Steel,7882.66,47.871,2129.54,C,Engineering Toolbox
MAT_053,Wood Variant 18,Wood,619.42,0.185,85.21,D,ICE Database
MAT_054,Concrete Variant 13,Concrete,2317.0,1.686,273.31,B,Engineering Toolbox
MAT_055,Glass Variant 5,Glass,2466.44,0.871,224.94,C,ICE Database
MAT_056,Concrete Variant 7,Concrete,2327.34,1.805,316.59,A,EPD Europe
MAT_057,Steel Variant 1,Steel,7845.03,48.694,1894.56,A,EPD Europe
MAT_058,Concrete Variant 3,Concrete,2286.43,1.401,224.11,A,ICE Database
MAT_059,Wood Variant 12,Wood,702.94,0.163,70.95,D,ICE Database
MAT_060,Glass Variant 7,Glass,2553.39,0.915,202.64,D,Engineering Toolbox
MAT_061,Glass Variant 20,Glass,2518.64,0.967,292.47,A,Engineering Toolbox
MAT_062,Glass Variant 1,Glass,2453.68,0.838,385.21,D,EPD Europe
MAT_063,Steel Variant 17,Steel,7746.37,54.569,2119.81,D,EPD Europe
MAT_064,Insulation Variant 16,Insulation,78.6,0.041,56.15,C,ICE Database
MAT_065,Steel Variant 11,Steel,7755.81,51.195,1750.53,B,ICE Database
MAT_066,Wood Variant 17,Wood,603.98,0.186,88.95,C,Engineering Toolbox
MAT_067,Steel Variant 15,Steel,7727.31,50.682,1911.58,D,EPD Europe
MAT_068,Steel Variant 14,Steel,7895.92,50.157,2364.86,C,Engineering Toolbox
MAT_069,Wood Variant 3,Wood,521.85,0.138,82.91,B,Engineering Toolbox
MAT_070,Insulation Variant 16,Insulation,83.16,0.026,77.63,C,EPD Europe
MAT_071,Glass Variant 16,Glass,2562.3,0.895,215.55,B,ICE Database
MAT_072,Glass Variant 17,Glass,2430.62,1.001,391.76,A,Engineering Toolbox
MAT_073,Insulation Variant 9,Insulation,119.69,0.046,45.53,C,ICE Database
MAT_074,Insulation Variant 17,Insulation,92.69,0.035,61.19,B,Engineering Toolbox
MAT_075,Glass Variant 19,Glass,2512.74,1.081,301.16,D,EPD Europe
MAT_076,Insulation Variant 4,Insulation,23.37,0.036,68.44,B,EPD Europe
MAT_077,Insulation Variant 11,Insulation,34.62,0.038,79.78,C,EPD Europe
MAT_078,Wood Variant 4,Wood,581.08,0.171,40.49,C,Engineering Toolbox
MAT_079,Concrete Variant 1,Concrete,2336.02,1.672,185.14,B,Engineering Toolbox
MAT_080,Concrete Variant 7,Concrete,2394.23,1.628,182.74,D,EPD Europe
MAT_081,Wood Variant 3,Wood,533.99,0.179,78.05,D,ICE Database
MAT_082,Wood Variant 7,Wood,550.81,0.123,71.28,C,EPD Europe
MAT_083,Steel Variant 5,Steel,7959.03,58.429,2217.41,A,ICE Database
MAT_084,Wood Variant 7,Wood,726.3,0.197,56.47,B,Engineering Toolbox
MAT_085,Glass Variant 5,Glass,2569.89,1.022,249.14,C,EPD Europe
MAT_086,Insulation Variant 15,Insulation,94.93,0.031,49.82,A,ICE Database
MAT_087,Concrete Variant 3,Concrete,2312.92,1.507,312.76,C,EPD Europe
MAT_088,Steel Variant 3,Steel,7705.05,53.02,2094.13,A,Engineering Toolbox
MAT_089,Glass Variant 14,Glass,2572.96,1.023,395.07,D,EPD Europe
MAT_090,Steel Variant 12,Steel,7845.87,59.186,1724.26,B,Engineering Toolbox
MAT_091,Insulation Variant 18,Insulation,40.48,0.023,59.66,A,Engineering Toolbox
MAT_092,Glass Variant 2,Glass,2526.33,0.897,318.22,A,EPD Europe
MAT_093,Insulation Variant 5,Insulation,54.18,0.048,67.63,D,ICE Database
MAT_094,Wood Variant 16,Wood,613.42,0.156,80.8,C,EPD Europe
MAT_095,Wood Variant 1,Wood,617.82,0.179,89.17,B,Engineering Toolbox
MAT_096,Steel Variant 10,Steel,8043.08,50.587,2356.14,A,EPD Europe
MAT_097,Concrete Variant 18,Concrete,2243.22,1.556,294.2,C,Engineering Toolbox
MAT_098,Steel Variant 11,Steel,7913.62,53.472,2004.57,C,Engineering Toolbox
MAT_099,Steel Variant 11,Steel,7929.55,54.478,1611.51,A,ICE Database
MAT_100,Glass Variant 18,Glass,2537.87,1.015,205.35,A,Engineering Toolbox
MAT_101,Wood Variant 17,Wood,476.24,0.2,89.35,A,ICE Database
MAT_102,Steel Variant 20,Steel,7837.6,50.718,1573.35,A,EPD Europe
MAT_103,Concrete Variant 4,Concrete,2293.17,1.621,229.08,A,ICE Database
MAT_104,Wood Variant 4,Wood,634.75,0.144,59.98,A,EPD Europe
MAT_105,Glass Variant 18,Glass,2478.33,0.982,293.76,B,ICE Database
MAT_106,Insulation Variant 7,Insulation,105.23,0.046,63.1,C,EPD Europe
MAT_107,Steel Variant 5,Steel,7831.58,55.894,2322.48,D,ICE Database
MAT_108,Wood Variant 10,Wood,660.08,0.191,31.57,D,Engineering Toolbox
MAT_109,Glass Variant 13,Glass,2547.16,0.97,382.84,D,EPD Europe
MAT_110,Wood Variant 16,Wood,628.35,0.186,77.78,C,Engineering Toolbox
MAT_111,Wood Variant 16,Wood,469.27,0.169,78.63,A,EPD Europe
MAT_112,Glass Variant 8,Glass,2443.76,0.852,395.13,B,EPD Europe
MAT_113,Wood Variant 17,Wood,702.7,0.168,42.86,A,Engineering Toolbox
MAT_114,Insulation Variant 16,Insulation,34.61,0.03,69.6,B,ICE Database
MAT_115,Steel Variant 11,Steel,7953.51,52.063,2154.1,C,Engineering Toolbox
MAT_116,Steel Variant 15,Steel,7795.49,48.362,1884.53,C,Engineering Toolbox
MAT_117,Glass Variant 3,Glass,2593.02,0.867,237.39,C,EPD Europe
MAT_118,Wood Variant 11,Wood,460.79,0.191,52.61,A,ICE Database
MAT_119,Wood Variant 2,Wood,645.59,0.151,59.01,D,ICE Database
MAT_120,Insulation Variant 14,Insulation,72.45,0.031,74.83,C,Engineering Toolbox
MAT_121,Insulation Variant 9,Insulation,112.95,0.032,50.59,C,ICE Database
MAT_122,Wood Variant 11,Wood,559.33,0.138,56.58,C,EPD Europe
MAT_123,Insulation Variant 8,Insulation,54.09,0.023,50.98,A,Engineering Toolbox
MAT_124,Wood Variant 12,Wood,576.58,0.181,63.05,D,Engineering Toolbox
MAT_125,Glass Variant 2,Glass,2463.15,0.868,277.71,A,EPD Europe
MAT_126,Wood Variant 18,Wood,595.09,0.162,78.33,D,EPD Europe
